Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-12-23 03:45:00+00:00,26184.19921875,26205.19921875,26120.0,26205.19921875,0
2025-12-23 04:45:00+00:00,26190.0,26195.44921875,26162.80078125,26184.650390625,0
2025-12-23 05:45:00+00:00,26187.69921875,26196.94921875,26157.55078125,26189.75,0
2025-12-23 06:45:00+00:00,26186.650390625,26198.94921875,26167.099609375,26187.400390625,0
2025-12-23 07:45:00+00:00,26203.349609375,26206.099609375,26179.80078125,26186.650390625,0
2025-12-23 08:45:00+00:00,26183.5,26233.55078125,26158.69921875,26203.400390625,0
2025-12-23 09:45:00+00:00,26164.55078125,26187.650390625,26158.94921875,26184.0,0
2025-12-24 03:45:00+00:00,26227.19921875,26229.19921875,26142.0,26183.75,0
2025-12-24 04:45:00+00:00,26210.150390625,26236.30078125,26198.05078125,26228.5,0
2025-12-24 05:45:00+00:00,26192.0,26221.0,26178.650390625,26210.30078125,0
2025-12-24 06:45:00+00:00,26181.05078125,26209.099609375,26173.19921875,26191.849609375,0
2025-12-24 07:45:00+00:00,26158.5,26181.5,26139.599609375,26181.0,0
2025-12-24 08:45:00+00:00,26154.80078125,26166.55078125,26124.19921875,26160.599609375,0
2025-12-24 09:45:00+00:00,26141.650390625,26157.650390625,26129.900390625,26155.900390625,0
2025-12-26 03:45:00+00:00,26091.44921875,26139.849609375,26071.69921875,26120.75,0
2025-12-26 04:45:00+00:00,26072.80078125,26097.599609375,26067.650390625,26090.349609375,0
2025-12-26 05:45:00+00:00,26062.25,26074.44921875,26048.69921875,26072.30078125,0
2025-12-26 06:45:00+00:00,26042.150390625,26067.099609375,26031.0,26062.0,0
2025-12-26 07:45:00+00:00,26044.150390625,26054.349609375,26032.400390625,26041.75,0
2025-12-26 08:45:00+00:00,26048.30078125,26051.349609375,26008.75,26042.5,0
2025-12-26 09:45:00+00:00,26047.650390625,26052.44921875,26031.05078125,26048.25,0
2025-12-29 03:45:00+00:00,26034.55078125,26102.75,26027.05078125,26065.75,0
2025-12-29 04:45:00+00:00,25983.69921875,26037.75,25979.0,26035.599609375,0
2025-12-29 05:45:00+00:00,25979.900390625,25990.099609375,25965.25,25983.900390625,0
2025-12-29 06:45:00+00:00,25954.349609375,25982.05078125,25952.349609375,25979.900390625,0
2025-12-29 07:45:00+00:00,25943.349609375,25961.05078125,25931.099609375,25954.69921875,0
2025-12-29 08:45:00+00:00,25944.05078125,25972.44921875,25922.25,25942.94921875,0
2025-12-29 09:45:00+00:00,25949.80078125,25953.349609375,25936.0,25943.349609375,0
2025-12-30 03:45:00+00:00,25943.25,25954.69921875,25878.0,25951.0,0
2025-12-30 04:45:00+00:00,25921.44921875,25975.80078125,25910.349609375,25943.75,0
2025-12-30 05:45:00+00:00,25884.80078125,25928.05078125,25883.0,25921.69921875,0
2025-12-30 06:45:00+00:00,25890.349609375,25913.650390625,25879.900390625,25885.44921875,0
2025-12-30 07:45:00+00:00,25943.599609375,25960.349609375,25887.80078125,25891.19921875,0
2025-12-30 08:45:00+00:00,25942.0,25958.349609375,25915.44921875,25942.25,0
2025-12-30 09:45:00+00:00,25970.55078125,25976.75,25936.599609375,25940.44921875,0
2025-12-31 03:45:00+00:00,25997.0,26026.849609375,25969.349609375,25975.44921875,0
2025-12-31 04:45:00+00:00,26055.80078125,26057.5,25998.349609375,25998.349609375,0
2025-12-31 05:45:00+00:00,26089.55078125,26091.55078125,26040.349609375,26055.44921875,0
2025-12-31 06:45:00+00:00,26155.349609375,26156.099609375,26083.55078125,26089.900390625,0
2025-12-31 07:45:00+00:00,26167.0,26179.25,26135.900390625,26154.5,0
2025-12-31 08:45:00+00:00,26122.94921875,26187.0,26115.05078125,26166.0,0
2025-12-31 09:45:00+00:00,26141.849609375,26141.849609375,26121.55078125,26124.19921875,0
2026-01-01 03:45:00+00:00,26151.150390625,26197.0,26147.349609375,26175.05078125,0
2026-01-01 04:45:00+00:00,26170.5,26185.599609375,26118.400390625,26151.650390625,0
2026-01-01 05:45:00+00:00,26125.0,26177.75,26123.94921875,26170.5,0
2026-01-01 06:45:00+00:00,26151.44921875,26162.55078125,26114.19921875,26124.349609375,0
2026-01-01 07:45:00+00:00,26168.0,26176.19921875,26129.69921875,26150.80078125,0
2026-01-01 08:45:00+00:00,26142.849609375,26178.0,26135.94921875,26166.849609375,0
2026-01-01 09:45:00+00:00,26140.25,26146.19921875,26126.80078125,26142.55078125,0
2026-01-02 03:45:00+00:00,26254.650390625,26270.80078125,26125.099609375,26150.25,0
2026-01-02 04:45:00+00:00,26254.05078125,26267.849609375,26235.05078125,26254.900390625,0
2026-01-02 05:45:00+00:00,26287.599609375,26297.099609375,26252.75,26253.30078125,0
2026-01-02 06:45:00+00:00,26302.75,26312.25,26277.0,26287.099609375,0
2026-01-02 07:45:00+00:00,26302.80078125,26314.5,26295.80078125,26302.75,0
2026-01-02 08:45:00+00:00,26324.75,26331.80078125,26265.849609375,26302.599609375,0
2026-01-02 09:45:00+00:00,26335.69921875,26339.099609375,26319.5,26322.69921875,0
2026-01-05 03:45:00+00:00,26339.150390625,26350.400390625,26263.80078125,26341.900390625,0
